query_name,fastest_total_time_s,fastest_source,status,sweep_param,sweep_value,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
10a.sql,0.41919000000000006,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.41919000000000006,0.42578499999999997,0.426668,0.42100400000000004
10b.sql,0.24274199999999999,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.24274199999999999,0.25123500000000004,0.251371,0.252388
10c.sql,1.6018430000000001,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,1.6018430000000001,1.976058,1.9355149999999999,1.918304
11a.sql,0.067764,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.16783599999999999,0.067764,0.164865,0.068096
11b.sql,0.029543,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.11483299999999999,0.033319,0.11424000000000001,0.029543
11c.sql,0.07261700000000001,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.07261700000000001,0.19758,0.08643799999999999,0.07459400000000001
11d.sql,0.141044,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.141044,0.16648999999999997,0.15807100000000002,0.173671
12a.sql,0.16211199999999998,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.16211199999999998,0.167751,0.16794900000000001,0.164191
12b.sql,0.085707,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.08804500000000001,0.09296199999999999,0.097606,0.085707
12c.sql,0.548209,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.57404,0.567581,0.56269,0.548209
13a.sql,1.011266,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.1792010000000002,1.0225570000000002,1.210875,1.011266
13b.sql,0.450751,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.554815,0.510184,0.574804,0.450751
13c.sql,0.47867400000000004,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.549076,0.49379100000000004,0.5472980000000001,0.47867400000000004
13d.sql,1.463285,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.7342549999999999,1.482922,1.8007719999999998,1.463285
14a.sql,0.35319,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,1.1202750000000001,0.35592999999999997,1.1907139999999998,0.35319
14b.sql,0.142703,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.16730899999999999,0.150793,0.187574,0.142703
14c.sql,0.5881339999999999,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.5881339999999999,0.678651,0.612997,0.6607500000000001
15a.sql,0.276831,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.276831,0.285568,0.289199,0.27882999999999997
15b.sql,0.046611,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.048976,0.047397999999999996,0.05089099999999999,0.046611
15c.sql,0.512628,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.722336,0.512628,0.738417,0.513056
15d.sql,0.47534299999999996,jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.7155370000000001,0.487807,0.7460779999999999,0.47534299999999996
16a.sql,0.209239,ce_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,0.221496,0.209239,0.23782200000000003,0.220604
16b.sql,11.334701999999998,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,11.334701999999998,18.482778,11.614321,18.397399999999998
16c.sql,1.042397,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,1.042397,1.542081,1.0825930000000001,1.542404
16d.sql,0.88079,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,0.88079,1.2343240000000002,1.122678,1.8897960000000003
17a.sql,8.425674999999998,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,8.425674999999998,10.279148,10.825675000000002,22.405928
17b.sql,7.780428,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,7.780428,8.93141,8.172897,8.966031999999998
17c.sql,7.709893,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,7.709893,8.558619,10.168538999999999,8.765061000000001
17d.sql,7.778054,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,7.778054,8.748528,10.44242,8.827345000000001
17e.sql,7.430751,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,7.430751,11.103407,13.167375,29.918625
17f.sql,8.972355,all_three,success,tee_join_enumerator.jn_rmp_weight,5.0,8.972355,10.869097,10.653023000000001,23.699204
18a.sql,8.309704,cm_jn,success,tee_join_enumerator.jn_rmp_weight,5.0,8.538774,8.921262,8.309704,8.600446000000002
