query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status
10a.sql,0.009104,0.39477100000000004,0.40387500000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10b.sql,0.010182,0.22959200000000002,0.23977400000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10c.sql,0.010943,1.616331,1.6272739999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11a.sql,0.012679000000000001,0.148835,0.161514,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11b.sql,0.013547,0.095954,0.109501,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11c.sql,0.013389,0.058131,0.07152,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11d.sql,0.015272,0.13253,0.14780200000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12a.sql,0.014,0.146944,0.160944,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12b.sql,0.013193,0.07241299999999999,0.08560599999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12c.sql,0.012901,0.553649,0.56655,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13a.sql,0.020559,1.159909,1.180468,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13b.sql,0.019379,0.547053,0.566432,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13c.sql,0.013022,0.5357649999999999,0.5487869999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13d.sql,0.019254,1.691744,1.710998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14a.sql,0.013175000000000001,1.076221,1.089396,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14b.sql,0.012102,0.15211000000000002,0.16421200000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14c.sql,0.012865999999999999,0.555813,0.568679,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15a.sql,0.022640999999999998,0.24227500000000002,0.26491600000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15b.sql,0.023094999999999997,0.026082,0.049177,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15c.sql,0.023827,0.698485,0.7223120000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15d.sql,0.024891,0.688114,0.713005,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16a.sql,0.017321000000000003,0.20468899999999998,0.22200999999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16b.sql,0.016741,10.679537,10.696278,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16c.sql,0.018047999999999998,0.9725,0.990548,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16d.sql,0.017291,0.7996040000000001,0.8168950000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17a.sql,0.0051909999999999994,8.19506,8.200251,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17b.sql,0.010252,7.9048,7.915052,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17c.sql,0.010815,7.761792000000001,7.772607000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17d.sql,0.010969,7.884082,7.8950510000000005,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17e.sql,0.011484,7.487527,7.499011,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17f.sql,0.010423,8.528452999999999,8.538875999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18a.sql,0.006787,8.603653,8.610439999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18b.sql,0.009873,0.307853,0.317726,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18c.sql,0.010896000000000001,5.373334,5.38423,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19a.sql,0.042414,8.016859,8.059273000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19b.sql,0.03579,0.39937,0.43516,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19c.sql,0.041426000000000004,1.114196,1.155622,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19d.sql,0.050017000000000006,2.6728780000000003,2.7228950000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1a.sql,0.002485,0.076889,0.079374,1,tee_join_enumerator.jn_rmp_weight,4.0,success
