query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status
10a.sql,0.008033,0.415072,0.423105,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10b.sql,0.006697,0.245461,0.252158,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10c.sql,0.009663,1.928789,1.938452,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11a.sql,0.012596,0.0588,0.071396,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11b.sql,0.013116,0.019562,0.032678,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11c.sql,0.012966,0.161678,0.174644,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11d.sql,0.008432,0.151092,0.159524,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12a.sql,0.014323,0.162885,0.177208,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12b.sql,0.012613,0.072673,0.085286,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12c.sql,0.013688,0.527068,0.540756,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13a.sql,0.016728,1.0107000000000002,1.0274280000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13b.sql,0.019975,0.491907,0.511882,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13c.sql,0.01815,0.460132,0.478282,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13d.sql,0.023209,1.465391,1.4886000000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14a.sql,0.0086,0.362867,0.371467,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14b.sql,0.006455,0.140391,0.14684599999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14c.sql,0.007219000000000001,0.657029,0.664248,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15a.sql,0.015381,0.255466,0.270847,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15b.sql,0.02132,0.025514,0.046834,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15c.sql,0.021158999999999997,0.491437,0.512596,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15d.sql,0.023807,0.454598,0.478405,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16a.sql,0.01488,0.208893,0.223773,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16b.sql,0.016707,18.476915,18.493622000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16c.sql,0.011057,1.522649,1.533706,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16d.sql,0.01795,1.222601,1.240551,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17a.sql,0.0052759999999999994,10.122309,10.127585,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17b.sql,0.007449,8.888644000000001,8.896093,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17c.sql,0.00948,8.60198,8.61146,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17d.sql,0.008889,8.692118,8.701007,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17e.sql,0.0075439999999999995,11.022120000000001,11.029664,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17f.sql,0.009840999999999999,10.660941000000001,10.670782,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18a.sql,0.008179,8.825262,8.833441,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18b.sql,0.00942,0.16697900000000002,0.17639900000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18c.sql,0.01064,5.591805,5.602445,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19a.sql,0.041519,0.20123500000000002,0.24275400000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19b.sql,0.03728,0.098771,0.136051,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19c.sql,0.045966,1.162463,1.208429,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19d.sql,0.047392000000000004,4.824765999999999,4.872158,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1a.sql,0.002422,0.078524,0.08094599999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1b.sql,0.0018859999999999999,0.07105,0.072936,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1c.sql,0.0020259999999999996,0.080795,0.082821,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1d.sql,0.001994,0.077386,0.07937999999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20a.sql,0.030678,3.244211,3.274889,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20b.sql,0.027344,2.269953,2.297297,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20c.sql,0.033741999999999994,1.216625,1.250367,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21a.sql,0.020141,0.058181,0.078322,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21b.sql,0.020256,0.036194000000000004,0.05645,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21c.sql,0.021629000000000002,0.042073,0.06370200000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
22a.sql,0.069419,0.445133,0.514552,1,tee_join_enumerator.jn_rmp_weight,4.0,success
22b.sql,0.069627,0.31357,0.383197,1,tee_join_enumerator.jn_rmp_weight,4.0,success
22c.sql,0.069748,0.796859,0.866607,1,tee_join_enumerator.jn_rmp_weight,4.0,success
22d.sql,0.058448,0.858324,0.9167719999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
23a.sql,0.058842,0.28711000000000003,0.34595200000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
23b.sql,0.058474,0.030833,0.089307,1,tee_join_enumerator.jn_rmp_weight,4.0,success
23c.sql,0.054747,0.354286,0.409033,1,tee_join_enumerator.jn_rmp_weight,4.0,success
24a.sql,0.166637,0.280061,0.44669800000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
24b.sql,0.162042,0.037744,0.199786,1,tee_join_enumerator.jn_rmp_weight,4.0,success
25a.sql,0.018293,2.442936,2.461229,1,tee_join_enumerator.jn_rmp_weight,4.0,success
25b.sql,0.021361,0.34395,0.365311,1,tee_join_enumerator.jn_rmp_weight,4.0,success
25c.sql,0.022789999999999998,8.366395,8.389185000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
26a.sql,0.155571,1.271135,1.4267059999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
26b.sql,0.144617,0.217464,0.362081,1,tee_join_enumerator.jn_rmp_weight,4.0,success
26c.sql,0.1357,4.162344,4.298044,1,tee_join_enumerator.jn_rmp_weight,4.0,success
27a.sql,0.15243700000000002,0.016747,0.16918400000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
27b.sql,0.137643,0.008067999999999999,0.14571099999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
27c.sql,0.14147,0.026181999999999997,0.16765200000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
28a.sql,0.696831,0.614365,1.311196,1,tee_join_enumerator.jn_rmp_weight,4.0,success
28b.sql,0.6925330000000001,0.395396,1.0879290000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
28c.sql,0.485286,0.74779,1.233076,1,tee_join_enumerator.jn_rmp_weight,4.0,success
29a.sql,28.473056,0.07490999999999999,28.547966,1,tee_join_enumerator.jn_rmp_weight,4.0,success
29b.sql,28.394108,0.016639,28.410747,1,tee_join_enumerator.jn_rmp_weight,4.0,success
29c.sql,19.048556,1.307821,20.356377000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
2a.sql,0.002211,0.424064,0.426275,1,tee_join_enumerator.jn_rmp_weight,4.0,success
2b.sql,0.002183,0.410617,0.4128,1,tee_join_enumerator.jn_rmp_weight,4.0,success
2c.sql,0.0021070000000000004,0.387601,0.389708,1,tee_join_enumerator.jn_rmp_weight,4.0,success
2d.sql,0.001403,0.57952,0.5809230000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
30a.sql,0.16744399999999998,3.729293,3.8967370000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
30b.sql,0.151915,3.62296,3.7748749999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
30c.sql,0.161782,3.1463769999999998,3.308159,1,tee_join_enumerator.jn_rmp_weight,4.0,success
31a.sql,0.080328,1.185314,1.265642,1,tee_join_enumerator.jn_rmp_weight,4.0,success
31b.sql,0.073934,0.328166,0.4021,1,tee_join_enumerator.jn_rmp_weight,4.0,success
31c.sql,0.081831,1.183788,1.265619,1,tee_join_enumerator.jn_rmp_weight,4.0,success
32a.sql,0.003883,0.013801,0.017684000000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
32b.sql,0.00372,0.129545,0.133265,1,tee_join_enumerator.jn_rmp_weight,4.0,success
33a.sql,0.9534600000000001,0.022154,0.9756140000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
