query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status
10a.sql,0.005091,0.42777499999999996,0.432866,1,tee_join_enumerator.jn_tax_level_limit,4,success
10b.sql,0.005013,0.242971,0.24798399999999998,1,tee_join_enumerator.jn_tax_level_limit,4,success
10c.sql,0.005567,1.957436,1.963003,1,tee_join_enumerator.jn_tax_level_limit,4,success
11a.sql,0.006655,0.037213,0.043868000000000004,1,tee_join_enumerator.jn_tax_level_limit,4,success
11b.sql,0.006344000000000001,0.7622680000000001,0.7686120000000001,1,tee_join_enumerator.jn_tax_level_limit,4,success
11c.sql,0.005128,0.061222,0.06634999999999999,1,tee_join_enumerator.jn_tax_level_limit,4,success
11d.sql,0.005994,0.164738,0.170732,1,tee_join_enumerator.jn_tax_level_limit,4,success
12a.sql,0.007853,0.20458099999999999,0.21243399999999998,1,tee_join_enumerator.jn_tax_level_limit,4,success
12b.sql,0.008357,0.135222,0.143579,1,tee_join_enumerator.jn_tax_level_limit,4,success
12c.sql,0.007614,1.0709000000000002,1.0785140000000002,1,tee_join_enumerator.jn_tax_level_limit,4,success
13a.sql,0.010959,1.0503289999999998,1.0612879999999998,1,tee_join_enumerator.jn_tax_level_limit,4,success
13b.sql,0.012047,0.497555,0.509602,1,tee_join_enumerator.jn_tax_level_limit,4,success
13c.sql,0.011047000000000001,0.485301,0.496348,1,tee_join_enumerator.jn_tax_level_limit,4,success
13d.sql,0.010277,1.6118610000000002,1.6221380000000003,1,tee_join_enumerator.jn_tax_level_limit,4,success
14a.sql,0.006931,1.178849,1.18578,1,tee_join_enumerator.jn_tax_level_limit,4,success
14b.sql,0.007227,0.169587,0.176814,1,tee_join_enumerator.jn_tax_level_limit,4,success
14c.sql,0.006703000000000001,1.287185,1.293888,1,tee_join_enumerator.jn_tax_level_limit,4,success
15a.sql,0.01399,0.2521,0.26609,1,tee_join_enumerator.jn_tax_level_limit,4,success
15b.sql,0.010347,0.025432,0.035779,1,tee_join_enumerator.jn_tax_level_limit,4,success
15c.sql,0.012512,0.722472,0.734984,1,tee_join_enumerator.jn_tax_level_limit,4,success
15d.sql,0.011972,0.786405,0.798377,1,tee_join_enumerator.jn_tax_level_limit,4,success
16a.sql,0.00931,2.449364,2.4586740000000002,1,tee_join_enumerator.jn_tax_level_limit,4,success
16b.sql,0.009667,10.887048,10.896715,1,tee_join_enumerator.jn_tax_level_limit,4,success
16c.sql,0.007077,1.027759,1.034836,1,tee_join_enumerator.jn_tax_level_limit,4,success
