query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status
10a.sql,0.008865,0.425174,0.434039,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10b.sql,0.010101,0.23638,0.246481,1,tee_join_enumerator.jn_rmp_weight,4.0,success
10c.sql,0.008523999999999999,1.901324,1.909848,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11a.sql,0.012031,0.056874,0.068905,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11b.sql,0.013254,0.019568000000000002,0.032822000000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11c.sql,0.012655,0.062094,0.07474900000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
11d.sql,0.014942,0.168167,0.18310900000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12a.sql,0.01278,0.158963,0.17174299999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12b.sql,0.013436,0.076362,0.089798,1,tee_join_enumerator.jn_rmp_weight,4.0,success
12c.sql,0.015153999999999999,0.539481,0.554635,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13a.sql,0.018006,0.989523,1.0075290000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13b.sql,0.019728000000000002,0.48610000000000003,0.505828,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13c.sql,0.017986000000000002,0.474119,0.492105,1,tee_join_enumerator.jn_rmp_weight,4.0,success
13d.sql,0.018427,1.437889,1.456316,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14a.sql,0.013999000000000001,0.328718,0.342717,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14b.sql,0.00809,0.146798,0.15488800000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
14c.sql,0.00724,0.657592,0.664832,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15a.sql,0.022026,0.241024,0.26305,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15b.sql,0.022695,0.022734,0.045429,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15c.sql,0.023224,0.47699400000000003,0.500218,1,tee_join_enumerator.jn_rmp_weight,4.0,success
15d.sql,0.022224,0.46898,0.49120400000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16a.sql,0.015242,0.201518,0.21676,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16b.sql,0.016396,18.065523000000002,18.081919000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16c.sql,0.015777,1.501893,1.5176699999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
16d.sql,0.018078,1.821224,1.839302,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17a.sql,0.006476,22.367383999999998,22.373859999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17b.sql,0.010889,8.973345,8.984234,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17c.sql,0.007627,8.556482,8.564109,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17d.sql,0.009348,8.673337,8.682685,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17e.sql,0.007345,29.570214,29.577559,1,tee_join_enumerator.jn_rmp_weight,4.0,success
17f.sql,0.010221000000000001,23.325256,23.335477,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18a.sql,0.005872,8.67486,8.680732,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18b.sql,0.00868,0.163206,0.17188599999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
18c.sql,0.010263999999999999,5.534424,5.544688,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19a.sql,0.040575,0.186257,0.226832,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19b.sql,0.032609,0.099216,0.131825,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19c.sql,0.042582999999999996,1.177703,1.220286,1,tee_join_enumerator.jn_rmp_weight,4.0,success
19d.sql,0.047885,5.014702000000001,5.062587000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1a.sql,0.001253,0.094439,0.095692,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1b.sql,0.002048,0.073147,0.075195,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1c.sql,0.002157,0.074991,0.07714800000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
1d.sql,0.001953,0.07120699999999999,0.07315999999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20a.sql,0.02895,3.029703,3.058653,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20b.sql,0.026892,2.169397,2.196289,1,tee_join_enumerator.jn_rmp_weight,4.0,success
20c.sql,0.032902,1.159565,1.192467,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21a.sql,0.02093,0.053654,0.074584,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21b.sql,0.01964,0.03527,0.05491,1,tee_join_enumerator.jn_rmp_weight,4.0,success
21c.sql,0.019004,0.036627,0.055631,1,tee_join_enumerator.jn_rmp_weight,4.0,success
22a.sql,0.07065,0.432525,0.503175,1,tee_join_enumerator.jn_rmp_weight,4.0,success
