query_name,planning_time_s,execution_time_s,total_time_s,sweep_run,sweep_param,sweep_value,status
q1-001.sql,0.002327,0.016192,0.018519,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-002.sql,0.001952,0.014013,0.015965,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-003.sql,0.002117,0.015029,0.017146,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-004.sql,0.001883,0.0238,0.025683,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-005.sql,0.00182,0.015726,0.017546,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-006.sql,0.001799,0.018123,0.019922,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-007.sql,0.001117,0.013605,0.014722,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-008.sql,0.0010580000000000001,0.016538,0.017596,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-009.sql,0.001075,0.019316,0.020391,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q1-010.sql,0.001212,0.024742999999999998,0.025955,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-001.sql,0.057575,0.157932,0.215507,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-002.sql,0.054695999999999995,0.15220599999999998,0.20690199999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-003.sql,0.05142,0.12989699999999998,0.18131699999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-004.sql,0.053397,0.13464500000000001,0.18804200000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-005.sql,0.054119999999999994,0.13301400000000002,0.18713400000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-006.sql,0.055145000000000007,0.131228,0.186373,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-007.sql,0.053956000000000004,0.188434,0.24239,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-008.sql,0.053520000000000005,0.199393,0.252913,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-009.sql,0.054842,0.139383,0.194225,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q10-010.sql,0.053144,0.28964999999999996,0.34279399999999993,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-001.sql,0.00138,1.465554,1.466934,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-002.sql,0.002487,0.047347,0.049834,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-003.sql,0.002229,0.057303,0.059532,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-004.sql,0.002264,1.201118,1.203382,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-005.sql,0.002478,0.04693,0.049408,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-006.sql,0.001917,0.443918,0.445835,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-007.sql,0.0024519999999999998,0.224941,0.227393,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-008.sql,0.002221,0.110219,0.11244,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-009.sql,0.001357,0.08286700000000001,0.08422400000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q11-010.sql,0.001238,0.228966,0.230204,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-001.sql,0.010254,1.0564559999999998,1.0667099999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-002.sql,0.010662000000000001,0.409718,0.42038000000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-003.sql,0.010115,0.589504,0.599619,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-004.sql,0.009335000000000001,1.736345,1.7456800000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-005.sql,0.012183,0.081337,0.09352,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-006.sql,0.005042,3.37647,3.381512,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-007.sql,0.012877000000000001,0.379884,0.392761,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-008.sql,0.010098000000000001,0.989998,1.000096,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-009.sql,0.010712999999999999,1.082463,1.093176,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q12-010.sql,0.00552,10.095447,10.100967,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-001.sql,0.055215,0.82531,0.880525,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-002.sql,0.049034,7.509128,7.558161999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-003.sql,0.057040999999999994,9.281996999999999,9.339037999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-004.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q13-005.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q13-006.sql,0.054834,40.091234,40.146068,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-007.sql,0.058843000000000006,2.466855,2.5256979999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-008.sql,0.054924,16.739096,16.79402,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q13-009.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q13-010.sql,0.049352,0.536981,0.586333,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-001.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q14-002.sql,0.026153,0.7047140000000001,0.730867,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-003.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q14-004.sql,0.023937999999999997,4.178082000000001,4.202020000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-005.sql,0.026300999999999998,0.619187,0.6454880000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-006.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q14-007.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q14-008.sql,0.024415,0.14157599999999998,0.16599099999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-009.sql,0.02231,7.003506000000001,7.025816000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q14-010.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q15-001.sql,0.020225999999999997,0.776164,0.7963899999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-002.sql,0.023719999999999998,0.573125,0.596845,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-003.sql,0.018626,3.007274,3.0258999999999996,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-004.sql,0.022205,0.26249,0.284695,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-005.sql,0.023594999999999998,0.07133,0.09492500000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-006.sql,0.02088,0.14171199999999998,0.162592,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-007.sql,0.020284,0.27370999999999995,0.293994,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-008.sql,0.019170000000000003,0.18231899999999998,0.20148899999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-009.sql,0.016451,1.126485,1.142936,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q15-010.sql,0.020317,0.09964400000000001,0.11996100000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-001.sql,0.011966,0.300909,0.31287499999999996,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-002.sql,0.012323,0.28183199999999997,0.29415499999999994,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-003.sql,0.014953,0.124026,0.138979,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-004.sql,0.014993000000000001,1.195581,1.210574,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-005.sql,0.015465999999999999,0.20919100000000002,0.22465700000000002,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-006.sql,0.012917999999999999,0.07858499999999999,0.09150299999999999,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-007.sql,0.013766,0.145735,0.159501,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-008.sql,0.013855000000000001,0.236677,0.250532,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-009.sql,0.012362,0.06146,0.073822,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q16-010.sql,0.011358,0.053856,0.065214,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q2-001.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-002.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-003.sql,0.182475,2.0058510000000003,2.1883260000000004,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q2-004.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-005.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-006.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-007.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-008.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-009.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q2-010.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-001.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-002.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-003.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-004.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-005.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-006.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-007.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-008.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-009.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q3-010.sql,0.0,60.0,60.0,1,tee_join_enumerator.jn_rmp_weight,4.0,error
q4-001.sql,0.014194,0.123925,0.138119,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-002.sql,0.012695999999999999,0.15199100000000001,0.16468700000000003,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-003.sql,0.011164,0.151089,0.162253,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-004.sql,0.014993000000000001,0.050913,0.065906,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-005.sql,0.012835000000000001,0.113603,0.126438,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-006.sql,0.015985,0.108769,0.124754,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-007.sql,0.015843,0.21001599999999998,0.22585899999999998,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-008.sql,0.013743,0.076903,0.090646,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-009.sql,0.014112,0.078116,0.092228,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q4-010.sql,0.012936999999999999,0.089582,0.102519,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-001.sql,0.00859,0.023702,0.032292,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-002.sql,0.015458999999999999,0.109373,0.124832,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-003.sql,0.01446,0.153949,0.168409,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-004.sql,0.014872,0.10928,0.124152,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-005.sql,0.015618,0.095546,0.11116400000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-006.sql,0.014307,0.22658799999999998,0.24089499999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-007.sql,0.014417999999999999,0.446649,0.461067,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-008.sql,0.014342,0.22172399999999998,0.23606599999999997,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-009.sql,0.015744,0.040711,0.056455,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q5-010.sql,0.013919,0.018488,0.032407000000000005,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-001.sql,0.014055,0.022152,0.036207,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-002.sql,0.013778,0.043909,0.057686999999999995,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-003.sql,0.016267,0.048038,0.064305,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-004.sql,0.013852,0.081948,0.0958,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-005.sql,0.014176,0.028399,0.042575,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-006.sql,0.015499,0.568684,0.584183,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-007.sql,0.015746,0.08853100000000001,0.10427700000000001,1,tee_join_enumerator.jn_rmp_weight,4.0,success
q6-008.sql,0.014452999999999999,0.022983,0.037436,1,tee_join_enumerator.jn_rmp_weight,4.0,success
