query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q1-001.sql,0.013399999999999999,0.000877,0.012523,jn,success,0.01389,0.013848,0.016025,0.013399999999999999
q1-002.sql,0.010369,0.000746,0.009623,all_three,success,0.010369,0.010747,0.011228,0.010609
q1-003.sql,0.010497,0.0006810000000000001,0.009816,ce_jn,success,0.011343,0.010497,0.010561000000000001,0.010608000000000001
q1-004.sql,0.010504,0.000679,0.009824999999999999,jn,success,0.015404,0.010543,0.016267,0.010504
q1-005.sql,0.010391,0.0006730000000000001,0.009718,ce_jn,success,0.014062,0.010391,0.013841999999999998,0.010393999999999999
q1-006.sql,0.009452,0.0006919999999999999,0.00876,all_three,success,0.009452,0.010668,0.01131,0.010641
q1-007.sql,0.009432000000000001,0.000741,0.008691,all_three,success,0.009432000000000001,0.010725,0.010627,0.010472
q1-008.sql,0.01065,0.000717,0.009932999999999999,jn,success,0.011153,0.01074,0.011567999999999998,0.01065
q1-009.sql,0.009158000000000001,0.000684,0.008474,all_three,success,0.009158000000000001,0.010695999999999999,0.010758,0.010679
q1-010.sql,0.010731,0.000723,0.010008,jn,success,0.021674000000000002,0.010803,0.025521000000000002,0.010731
q10-001.sql,0.19560899999999998,0.046056,0.149553,ce_jn,success,0.21107700000000001,0.19560899999999998,0.20481100000000002,0.196221
q10-002.sql,0.201851,0.046097,0.155754,ce_jn,success,0.20674,0.201851,0.20501600000000003,0.203673
q10-003.sql,0.170745,0.04614,0.12460500000000001,jn,success,0.177523,0.171951,0.173156,0.170745
q10-004.sql,0.17177,0.045477,0.12629300000000002,jn,success,0.17696,0.172979,0.175172,0.17177
q10-005.sql,0.169572,0.044425,0.125147,ce_jn,success,0.174131,0.169572,0.177896,0.16988999999999999
q10-006.sql,0.169565,0.044396,0.125169,ce_jn,success,0.177261,0.169565,0.180609,0.171233
